id,object_id,object_repr,action_flag,change_message,content_type_id,user_id,action_time
1,1,Horario HVAC,1,"[{""added"": {}}, {""added"": {""name"": ""dia horario"", ""object"": ""Lunes: 07:00:00 - 17:00:00""}}, {""added"": {""name"": ""dia horario"", ""object"": ""Martes: 07:00:00 - 17:00:00""}}, {""added"": {""name"": ""dia horario"", ""object"": ""Mi\u00e9rcoles: 07:00:00 - 17:00:00""}}, {""added"": {""name"": ""dia horario"", ""object"": ""Jueves: 07:00:00 - 17:00:00""}}, {""added"": {""name"": ""dia horario"", ""object"": ""Viernes: 07:00:00 - 17:00:00""}}, {""added"": {""name"": ""dia horario"", ""object"": ""S\u00e1bado: 07:00:00 - 17:00:00""}}, {""added"": {""name"": ""dia horario"", ""object"": ""Domingo: 07:00:00 - 17:00:00""}}]",10,1,2025-01-30 07:31:12.629410
2,1,S1,1,"[{""added"": {}}]",26,1,2025-01-30 07:40:11.012054
3,53,S52,3,,26,1,2025-01-30 07:41:47.637902
4,52,S51,3,,26,1,2025-01-30 07:41:47.637958
5,51,S50,3,,26,1,2025-01-30 07:41:47.637984
6,50,S49,3,,26,1,2025-01-30 07:41:47.638007
7,49,S48,3,,26,1,2025-01-30 07:41:47.638027
8,48,S47,3,,26,1,2025-01-30 07:41:47.638047
9,47,S46,3,,26,1,2025-01-30 07:41:47.638066
10,46,S45,3,,26,1,2025-01-30 07:41:47.638085
11,45,S44,3,,26,1,2025-01-30 07:41:47.638104
12,44,S43,3,,26,1,2025-01-30 07:41:47.638123
13,43,S42,3,,26,1,2025-01-30 07:41:47.638141
14,42,S41,3,,26,1,2025-01-30 07:41:47.638268
15,41,S40,3,,26,1,2025-01-30 07:41:47.638306
16,40,S39,3,,26,1,2025-01-30 07:41:47.638329
17,39,S38,3,,26,1,2025-01-30 07:41:47.638348
18,38,S37,3,,26,1,2025-01-30 07:41:47.638367
19,37,S36,3,,26,1,2025-01-30 07:41:47.638385
20,36,S35,3,,26,1,2025-01-30 07:41:47.638403
21,35,S34,3,,26,1,2025-01-30 07:41:47.638581
22,34,S33,3,,26,1,2025-01-30 07:41:47.638616
23,33,S32,3,,26,1,2025-01-30 07:41:47.638638
24,32,S31,3,,26,1,2025-01-30 07:41:47.638657
25,31,S30,3,,26,1,2025-01-30 07:41:47.638677
26,30,S29,3,,26,1,2025-01-30 07:41:47.638696
27,29,S28,3,,26,1,2025-01-30 07:41:47.638715
28,28,S27,3,,26,1,2025-01-30 07:41:47.638735
29,27,S26,3,,26,1,2025-01-30 07:41:47.638757
30,26,S25,3,,26,1,2025-01-30 07:41:47.638773
31,25,S24,3,,26,1,2025-01-30 07:41:47.638789
32,24,S23,3,,26,1,2025-01-30 07:41:47.638804
33,23,S22,3,,26,1,2025-01-30 07:41:47.638819
34,22,S21,3,,26,1,2025-01-30 07:41:47.638835
35,21,S20,3,,26,1,2025-01-30 07:41:47.638853
36,20,S19,3,,26,1,2025-01-30 07:41:47.638872
37,19,S18,3,,26,1,2025-01-30 07:41:47.638888
38,18,S17,3,,26,1,2025-01-30 07:41:47.638907
39,17,S16,3,,26,1,2025-01-30 07:41:47.638925
40,16,S15,3,,26,1,2025-01-30 07:41:47.639074
41,15,S14,3,,26,1,2025-01-30 07:41:47.639140
42,14,S13,3,,26,1,2025-01-30 07:41:47.639223
43,13,S12,3,,26,1,2025-01-30 07:41:47.639256
44,12,S11,3,,26,1,2025-01-30 07:41:47.639276
45,11,S10,3,,26,1,2025-01-30 07:41:47.639292
46,10,S9,3,,26,1,2025-01-30 07:41:47.639309
47,9,S8,3,,26,1,2025-01-30 07:41:47.639323
48,8,S7,3,,26,1,2025-01-30 07:41:47.639339
49,7,S6,3,,26,1,2025-01-30 07:41:47.639353
50,6,S5,3,,26,1,2025-01-30 07:41:47.639367
51,5,S4,3,,26,1,2025-01-30 07:41:47.639387
