id,app_label,model
1,admin,logentry
2,auth,permission
3,auth,group
4,auth,user
5,contenttypes,contenttype
6,sessions,session
7,cmms,almacen
8,cmms,empresa
9,cmms,frecuencia
10,cmms,horariopreestablecido
11,cmms,marca
12,cmms,plandemantenimiento
13,cmms,puntodemedicion
14,cmms,area
15,cmms,categoria
16,cmms,hojaderuta
17,cmms,diahorario
18,cmms,material
19,cmms,kit
20,cmms,modelo
21,cmms,activo
22,cmms,movimientodeinventario
23,cmms,pasoshojaderuta
24,cmms,persona
25,cmms,programacion
26,cmms,semana
27,cmms,sistema
28,cmms,ordendetrabajo
29,cmms,herramienta
30,cmms,kitdeherramientas
31,cmms,puesto
32,cmms,unidad
33,cmms,personal
34,cmms,cuadrilla
35,cmms,menuitem
36,cmms,epp
