id,app,name,applied
1,contenttypes,0001_initial,2025-01-30 06:27:35.727178
2,auth,0001_initial,2025-01-30 06:27:35.740252
3,admin,0001_initial,2025-01-30 06:27:35.750271
4,admin,0002_logentry_remove_auto_add,2025-01-30 06:27:35.759354
5,admin,0003_logentry_add_action_flag_choices,2025-01-30 06:27:35.765071
6,contenttypes,0002_remove_content_type_name,2025-01-30 06:27:35.776345
7,auth,0002_alter_permission_name_max_length,2025-01-30 06:27:35.783373
8,auth,0003_alter_user_email_max_length,2025-01-30 06:27:35.791750
9,auth,0004_alter_user_username_opts,2025-01-30 06:27:35.797392
10,auth,0005_alter_user_last_login_null,2025-01-30 06:27:35.811399
11,auth,0006_require_contenttypes_0002,2025-01-30 06:27:35.814833
12,auth,0007_alter_validators_add_error_messages,2025-01-30 06:27:35.822855
13,auth,0008_alter_user_username_max_length,2025-01-30 06:27:35.831471
14,auth,0009_alter_user_last_name_max_length,2025-01-30 06:27:35.839205
15,auth,0010_alter_group_name_max_length,2025-01-30 06:27:35.846684
16,auth,0011_update_proxy_permissions,2025-01-30 06:27:35.852127
17,auth,0012_alter_user_first_name_max_length,2025-01-30 06:27:35.859468
18,cmms,0001_initial,2025-01-30 06:27:35.909921
19,sessions,0001_initial,2025-01-30 06:27:35.917128
20,cmms,0002_semana,2025-01-30 07:33:53.098230
21,cmms,0003_remove_hojaderuta_plandemantenimiento_and_more,2025-01-30 08:07:29.379973
22,cmms,0004_remove_hojaderuta_areas_remove_hojaderuta_frecuencia,2025-01-30 08:09:35.015552
23,cmms,0005_sistema,2025-01-30 08:11:17.986085
24,cmms,0006_hojaderuta_sistema,2025-01-30 08:17:45.241481
25,cmms,0007_ordendetrabajo,2025-01-30 08:24:47.855395
26,cmms,0008_frecuencia_color,2025-01-30 19:01:00.860086
27,cmms,0009_alter_frecuencia_color,2025-01-30 21:17:09.168068
28,cmms,0010_area_orden,2025-02-04 21:19:19.382970
29,cmms,0011_ordendetrabajo_activo,2025-02-05 07:16:55.648601
30,cmms,0012_remove_area_orden_remove_hojaderuta_horario_and_more,2025-02-07 05:18:40.936371
31,cmms,0013_ordendetrabajo_horario,2025-02-07 07:33:21.962119
32,cmms,0014_herramienta_kitdeherramientas,2025-02-07 20:36:29.612555
33,cmms,0015_hojaderuta_kitdeherramientas,2025-02-07 20:38:12.902533
34,cmms,0016_kitdeherramientas_descripcion,2025-02-07 20:45:27.879767
35,cmms,0017_herramienta_categoria,2025-02-07 20:58:43.012308
36,cmms,0018_remove_herramienta_categoria_herramienta_categoria,2025-02-07 20:59:50.390095
37,cmms,0019_personal_puesto_unidad_cuadrilla,2025-02-07 21:19:45.954499
38,cmms,0020_herramienta_descripcion,2025-02-10 21:24:31.514959
39,cmms,0021_herramienta_unidad,2025-02-10 21:25:18.268294
40,cmms,0022_alter_herramienta_marca,2025-02-10 23:51:11.765531
41,cmms,0023_kit_clave_kit,2025-02-11 01:00:23.445369
42,cmms,0024_kitdeherramientas_clave_kit,2025-02-11 01:02:41.710892
43,cmms,0025_alter_kitdeherramientas_clave_kit,2025-02-11 01:12:32.729352
44,cmms,0026_alter_herramienta_nombre,2025-02-11 01:28:17.302586
45,cmms,0027_menuitem,2025-02-11 01:58:31.734154
46,cmms,0028_hojaderuta_clave_rutina,2025-02-11 04:33:31.064475
47,cmms,0029_remove_cuadrilla_personal_cuadrilla_puestos_and_more,2025-02-11 07:06:20.930874
48,cmms,0030_herramienta_material_epp,2025-02-11 07:50:15.646322
49,cmms,0031_delete_epp,2025-02-11 13:02:33.639614
50,cmms,0032_alter_material_tipo,2025-02-11 13:05:18.495711
51,cmms,0033_alter_hojaderuta_nombre_and_more,2025-02-11 13:26:41.703858
52,cmms,0034_remove_pasoshojaderuta_unique_paso_hojaderuta_and_more,2025-02-11 13:26:41.723926
