name,seq
django_migrations,52
django_admin_log,13346
django_content_type,36
auth_permission,144
auth_group,0
auth_user,3
cmms_horariopreestablecido,21
cmms_diahorario,119
cmms_semana,212
cmms_area,87
cmms_sistema,122
cmms_programacion,159
cmms_programacion_areas,851
cmms_ordendetrabajo,362531
cmms_frecuencia,9
cmms_marca,3
cmms_categoria,2
cmms_modelo,1
cmms_activo,10
cmms_programacion_activos,17
cmms_kitdeherramientas_herramientas,66
cmms_herramienta_categoria,6
cmms_personal,2
cmms_unidad,1
cmms_kit,0
cmms_kitdeherramientas,8
cmms_herramienta,46
cmms_menuitem,1
cmms_puesto,27
cmms_cuadrilla,5
cmms_cuadrilla_puestos,27
cmms_material,2
cmms_hojaderuta,157
cmms_pasoshojaderuta,421
